date,ts_ms,coin,ret12,ret24,ret7d,day2_ret24,pump_max5m,mins_since_high12,retrace_from_high,vwap_dist,volr_15m,volr_1h,volr_2h,vol24_usd,oi_usd,funding_1h,funding_8h_sum,premium,spread_bps,depth_bid_05,depth_ask_05,btc_ret24,eth_ret24,breadth_up5,rank24,r30m,r1h,r2h,r3h,r6h,r24h,mae3h,fund_paid_3h,e18_r1h,e18_r2h,e18_r3h,e18_mae3h
2026-07-04,1783204474243,BLUR,0.000581,-0.005134,0.069467,0.035966,0.007147,240,0.014619,-0.002108,0.345225,0.920235,0.740858,168568,420927,0.000013,,-0.000064,,,,0.010291,0.015176,9,102,-0.002064,-0.004451,-0.010127,-0.015610,-0.018577,-0.020964,0.000903,-0.000003,-0.004559,-0.009697,-0.009568,0.000450
2026-07-04,1783204474243,TIA,0.006174,-0.020417,0.058767,0.103256,0.010471,300,0.046839,-0.017015,0.065407,0.083874,0.088756,2086433,2280841,-0.000007,,-0.000481,,,,0.010291,0.015176,9,140,-0.004868,-0.002941,-0.009128,-0.006136,-0.005477,0.009661,0.003550,-0.000023,-0.006755,-0.008368,-0.008242,0.001563
2026-07-04,1783204474243,BSV,-0.029239,0.012223,0.170607,0.014178,0.004853,625,0.036058,-0.015453,0.345866,1.560930,0.891465,196384,604350,0.000013,,0.000208,,,,0.010291,0.015176,9,43,-0.002151,0.000000,0.024637,0.006524,0.004997,0.043931,0.034145,0.000038,-0.007587,-0.005932,0.009243,0.027797
2026-07-04,1783204474243,ADA,0.082361,0.062205,0.316613,0.113870,0.016974,270,0.044600,-0.007225,0.127258,0.120180,0.232256,18513203,28454249,0.000013,0.000100,0.000000,2.09,156825,105130,0.010291,0.015176,9,7,0.003245,0.006332,-0.005286,0.001779,0.004815,0.000733,0.020620,0.000038,-0.003059,-0.003473,0.000518,0.003940
2026-07-04,1783204474243,MINA,0.015716,-0.007205,0.233773,0.106389,0.008204,280,0.030656,0.001954,0.305427,0.526279,0.488708,265174,520142,-0.000040,,-0.001360,,,,0.010291,0.015176,9,114,-0.005257,-0.007045,-0.013046,-0.024752,-0.011407,0.023070,0.000575,-0.000053,-0.003999,-0.008593,-0.015527,0.001978
2026-07-04,1783204474243,POLYX,0.010326,0.000715,0.077390,0.036356,0.004932,270,0.008818,0.001084,0.400227,0.623665,1.091917,61349,90034,0.000013,,0.000000,,,,0.010291,0.015176,9,81,-0.001800,0.000556,-0.004686,-0.010273,-0.014297,-0.000318,0.002303,0.000038,-0.002326,-0.003515,-0.004176,0.000793
2026-07-04,1783204474243,GAS,0.007367,0.005960,0.058916,0.027068,0.004438,280,0.011168,0.001492,0.384358,0.516754,0.691060,86314,177654,0.000013,,0.000000,,,,0.010291,0.015176,9,64,-0.003610,-0.002500,0.024995,-0.004351,-0.000926,-0.001666,0.038326,-0.000170,-0.004984,-0.003969,0.018830,0.035259
2026-07-04,1783204474243,PENDLE,0.015004,-0.002907,0.191869,-0.022989,0.008706,450,0.014040,-0.000868,0.048018,0.073864,0.073425,1546709,6680757,0.000013,,0.000000,,,,0.010291,0.015176,9,95,-0.003458,-0.007934,-0.018919,-0.019801,-0.021157,-0.034583,0.001085,0.000038,0.000816,-0.005369,-0.014816,0.003330
2026-07-04,1783204474243,FET,-0.004158,-0.019410,0.067315,0.025466,0.006784,155,0.024080,-0.008824,0.176561,0.274408,0.507396,1700150,7599294,0.000025,,0.000744,,,,0.010291,0.015176,9,139,-0.002711,-0.005423,-0.019577,-0.032213,-0.034924,-0.025108,0.001627,0.000043,-0.006295,-0.016411,-0.032607,-0.000430
2026-07-04,1783204474243,NEAR,0.015503,-0.024225,0.069139,0.053078,0.009168,420,0.024987,-0.005347,0.244238,0.311101,0.381658,13066683,77561060,0.000013,,0.000000,,,,0.010291,0.015176,9,149,0.003303,0.001151,-0.007107,-0.010011,-0.011612,0.022123,0.004705,0.000038,0.002648,-0.001149,-0.007295,0.002998
